TeamHome,TeamAway,ResultTeamHome,ResultTeamAway,Bet1,BetX,Bet2
Everton,Burnley,2,0,1.65,3.94,5.73
Manchester Utd,Chelsea,1,1,2.66,3.38,2.79
Burnley,Manchester City,0,1,17.81,8.92,1.16
Leicester,Arsenal,3,0,2.71,3.63,2.59
Brighton,Newcastle,1,1,2.21,3.26,3.63
Crystal Palace,Everton,0,0,3.01,3.42,2.44
Fulham,Cardiff,1,0,2.20,3.63,3.30
Southampton,Bournemouth,3,3,1.79,3.93,4.57
Watford,Wolves,1,2,2.65,3.23,2.89
Tottenham,West Ham,0,1,1.35,5.48,8.97
Liverpool,Huddersfield,5,0,1.07,14.92,31.33
Manchester Utd,Manchester City,0,2,6.30,4.73,1.51
Wolves,Arsenal,3,1,2.72,3.40,2.69
Tottenham,Brighton,1,0,1.26,6.14,12.63
Watford,Southampton,1,1,2.17,3.43,3.56
Chelsea,Burnley,2,2,1.22,6.58,15.00
Arsenal,Crystal Palace,2,3,1.51,4.67,6.38
Cardiff,Liverpool,0,2,16.50,7.88,1.18
Everton,Manchester Utd,4,0,3.31,3.53,2.24
Newcastle,Southampton,3,1,2.42,3.08,3.41
Bournemouth,Fulham,0,1,1.71,4.21,4.71
Huddersfield,Watford,1,2,4.09,3.58,1.96
West Ham,Leicester,2,2,3.21,3.56,2.26
Wolves,Brighton,0,0,1.92,3.20,4.97
Manchester City,Tottenham,1,0,1.27,6.50,10.50
Brighton,Cardiff,0,2,1.99,3.29,4.39
Watford,Arsenal,0,1,3.67,3.73,2.04
Liverpool,Chelsea,2,0,1.73,3.84,5.21
Crystal Palace,Manchester City,1,3,13.00,6.91,1.22
Manchester Utd,West Ham,2,1,1.30,5.92,10.08
Brighton,Bournemouth,0,5,2.30,3.27,3.42
Burnley,Cardiff,2,0,1.84,3.58,4.77
Fulham,Everton,2,0,4.91,4.22,1.69
Southampton,Wolves,3,1,2.71,3.17,2.86
Tottenham,Huddersfield,4,0,1.20,6.96,16.31
Leicester,Newcastle,0,1,1.66,3.87,5.87
Chelsea,West Ham,2,0,1.22,6.83,13.63
Everton,Arsenal,1,0,2.94,3.53,2.45
Bournemouth,Burnley,1,3,2.05,3.54,3.79
Huddersfield,Leicester,1,4,5.46,4.02,1.66
Newcastle,Crystal Palace,0,1,2.68,3.17,2.91
Southampton,Liverpool,1,3,8.93,5.23,1.36
Chelsea,Brighton,3,0,1.28,5.62,12.63
Manchester City,Cardiff,2,0,1.07,15.06,32.50
Tottenham,Crystal Palace,2,0,1.47,4.59,7.34
Watford,Fulham,4,1,1.71,3.90,5.24
Wolves,Manchester Utd,2,1,3.31,3.22,2.38
Arsenal,Newcastle,2,0,1.41,4.80,8.23
Liverpool,Tottenham,2,1,1.56,4.43,6.04
Cardiff,Chelsea,1,2,8.82,4.69,1.40
West Ham,Everton,0,2,2.65,3.37,2.78
Brighton,Southampton,0,1,2.53,3.12,3.15
Burnley,Wolves,2,0,2.92,3.14,2.68
Crystal Palace,Huddersfield,2,0,1.45,4.40,8.30
Leicester,Bournemouth,2,0,1.79,3.92,4.58
Manchester Utd,Watford,2,1,1.38,5.14,8.48
Fulham,Manchester City,0,2,21.00,11.18,1.11
Everton,Chelsea,2,0,4.70,3.76,1.83
Fulham,Liverpool,1,2,13.00,8.03,1.21
Bournemouth,Newcastle,2,2,2.15,3.54,3.60
Burnley,Leicester,1,2,3.21,3.37,2.38
West Ham,Huddersfield,4,3,1.53,4.28,6.89
Arsenal,Manchester Utd,2,0,2.38,3.57,3.02
Chelsea,Wolves,1,1,1.58,3.92,6.90
Liverpool,Burnley,4,2,1.17,7.91,19.00
Manchester City,Watford,3,1,1.11,10.66,25.00
Cardiff,West Ham,2,0,3.02,3.45,2.46
Huddersfield,Bournemouth,0,2,3.11,3.33,2.47
Leicester,Fulham,3,1,1.58,4.37,5.83
Newcastle,Everton,3,2,2.72,3.13,2.92
Southampton,Tottenham,2,1,4.59,3.83,1.81
Crystal Palace,Brighton,1,2,1.87,3.33,5.13
Everton,Liverpool,0,0,6.48,4.05,1.60
Fulham,Chelsea,1,2,8.26,4.76,1.42
Watford,Leicester,2,1,2.76,3.31,2.75
West Ham,Newcastle,2,0,2.17,3.38,3.67
Bournemouth,Manchester City,0,1,15.06,8.60,1.18
Brighton,Huddersfield,1,0,1.79,3.41,5.67
Burnley,Crystal Palace,1,3,2.96,3.26,2.60
Manchester Utd,Southampton,3,2,1.44,4.58,8.18
Wolves,Cardiff,2,0,1.75,3.57,5.65
Tottenham,Arsenal,1,1,2.01,3.60,4.00
Chelsea,Tottenham,2,0,2.41,3.31,3.25
Crystal Palace,Manchester Utd,1,3,3.46,3.29,2.29
Liverpool,Watford,5,0,1.27,5.87,11.83
Manchester City,West Ham,1,0,1.10,11.25,24.67
Arsenal,Bournemouth,5,1,1.38,5.31,8.25
Southampton,Fulham,2,0,1.97,3.50,4.24
Newcastle,Burnley,2,0,2.16,3.29,3.89
Cardiff,Everton,0,3,4.01,3.39,2.05
Huddersfield,Wolves,1,0,5.70,3.60,1.73
Leicester,Brighton,2,1,1.82,3.50,5.11
Arsenal,Southampton,2,0,1.55,4.32,6.42
Manchester Utd,Liverpool,0,0,3.56,3.49,2.14
Leicester,Crystal Palace,1,4,2.27,3.32,3.39
Bournemouth,Wolves,1,1,3.12,3.33,2.44
Newcastle,Huddersfield,2,0,1.90,3.33,4.75
Burnley,Tottenham,2,1,6.20,4.04,1.58
Cardiff,Watford,1,5,3.22,3.29,2.41
West Ham,Fulham,3,1,2.00,3.49,4.01
Wolves,Newcastle,1,1,1.76,3.53,5.45
Manchester City,Chelsea,6,0,1.55,4.41,6.25
Tottenham,Leicester,3,1,1.66,3.82,5.79
Brighton,Burnley,1,3,2.03,3.30,4.23
Crystal Palace,West Ham,1,1,1.98,3.61,4.11
Huddersfield,Arsenal,1,2,5.63,3.92,1.66
Liverpool,Bournemouth,3,0,1.16,8.49,16.50
Southampton,Cardiff,1,2,1.81,3.56,4.91
Watford,Everton,1,0,2.53,3.40,2.98
Fulham,Manchester Utd,0,3,4.92,4.07,1.70
Everton,Manchester City,0,2,10.25,6.10,1.28
West Ham,Liverpool,1,1,9.10,5.96,1.31
Manchester City,Arsenal,3,1,1.24,7.17,10.83
Leicester,Manchester Utd,0,1,3.79,3.64,2.02
Cardiff,Bournemouth,2,0,3.31,3.48,2.26
Brighton,Watford,0,0,2.45,3.25,3.18
Burnley,Southampton,1,1,2.57,3.38,2.89
