TeamHome,TeamAway,ResultTeamHome,ResultTeamAway,Bet1,BetX,Bet2
Orenburg,FK Rostov,3,0,3.05,2.76,2.84
Ufa,Arsenal Tula,1,2,2.54,2.80,3.41
FK Anzi Makhackala,Akhmat Grozny,0,1,6.88,3.89,1.56
FK Rostov,Spartak Moscow,2,1,2.71,2.97,2.96
Zenit,FK Anzi Makhackala,5,0,1.04,15.31,47.25
Dynamo Moscow,Krasnodar,1,1,3.29,3.19,2.36
Akhmat Grozny,Lokomotiv Moscow,1,3,3.32,2.91,2.51
Arsenal Tula,Ural,0,0,2.06,3.33,3.88
CSKA Moscow,Orenburg,2,3,1.40,4.43,9.32
Yenisey,Ufa,0,0,3.03,2.89,2.73
FK Krylya Sovetov Samara,Rubin Kazan,1,0,2.25,2.90,3.94
Orenburg,Akhmat Grozny,1,3,2.44,2.85,3.53
Lokomotiv Moscow,Zenit,1,1,2.68,3.15,2.86
Rubin Kazan,Arsenal Tula,0,0,2.58,2.82,3.32
Ural,Yenisey,3,2,1.75,3.54,5.32
Ufa,FK Rostov,1,0,3.17,2.74,2.77
Spartak Moscow,CSKA Moscow,0,2,3.32,3.22,2.32
Krasnodar,FK Krylya Sovetov Samara,1,0,1.40,4.79,8.20
FK Anzi Makhackala,Dynamo Moscow,1,1,9.93,4.85,1.35
Orenburg,FK Krylya Sovetov Samara,3,1,2.41,2.96,3.44
Krasnodar,FK Anzi Makhackala,5,0,1.10,9.53,28.00
CSKA Moscow,Ufa,2,2,1.39,4.45,9.86
Zenit,Orenburg,3,1,1.45,4.25,8.31
FK Rostov,Ural,2,1,1.76,3.40,5.54
Akhmat Grozny,Spartak Moscow,1,3,3.06,2.95,2.64
Dynamo Moscow,Lokomotiv Moscow,0,1,3.24,3.00,2.48
Yenisey,Rubin Kazan,1,1,2.96,2.92,2.76
FK Krylya Sovetov Samara,Arsenal Tula,0,1,2.19,3.12,3.74
Spartak Moscow,Zenit,1,1,2.71,3.17,2.81
