Name,Meta_data,Apps,Mins,Goals,Assists,Yel_card,Red_card,ShotsPerGame,PassSuccess,AerialWonPerGame,ManOfTheMatch,Rating
Wilfried Zaha,"Crystal Palace, 27, AM(LR),FW",28(1),2545,3,3,4,-,1.5,80.6,0.3,2,7.06
Xavier Chavalerin,"Reims, 29, DMC",24,2148,1,3,6,-,0.9,81.5,0.5,3,7.06
Robert Skov,"Hoffenheim, 23, D(L),M(LR)",21(1),1873,3,4,3,-,1.7,79.6,0.6,1,7.06
Moussa Dembele,"Lyon, 23, FW",24(3),2189,16,2,3,-,2.1,70.1,2.6,1,7.06
Gaetano Castrovilli,"Fiorentina, 23, M(C)",24,2023,3,2,8,-,1.3,80.3,0.7,3,7.06
Gaetan Laborde,"Montpellier, 25, AM(C),FW",27(1),2250,6,5,1,-,2.3,68.8,4.2,2,7.06
Bernardo Silva,"Manchester City, 25, M(CLR)",17(7),1500,5,5,5,-,1.6,89.3,0.5,1,7.05
André-Frank Zambo Anguissa,"Villarreal, 24, DMC",18(7),1682,1,-,6,-,1,85.8,2.5,4,7.05
Tiemoué Bakayoko,"Monaco, 25, DMC",20,1722,1,2,4,1,1.2,86,1.5,-,7.05
Aitor Fernández,"Levante, 28, GK",27,2430,-,-,2,-,-,59.8,0.4,1,7.05
Juan Bernat,"Paris Saint-Germain, 27, D(L),M(CL)",16(2),1390,-,4,5,-,0.3,91,0.5,-,7.05
Gil Dias,"Monaco, 23, M(LR)",12(2),1057,-,-,3,-,1.2,82.1,1.1,-,7.05
Milot Rashica,"Werder Bremen, 23, AM(LR),FW",20,1730,7,4,2,-,3,73.8,0.6,2,7.05
Denis Bouanga,"Saint-Etienne, 25, M(CLR),FW",23(3),2047,10,3,4,-,3,72.5,1.5,6,7.05
Miralem Pjanic,"Juventus, 30, M(C)",20(2),1737,3,2,7,-,0.9,89.8,0.5,1,7.05
Dedryck Boyata,"Hertha Berlin, 29, D(C)",20,1764,3,1,6,-,0.8,89.6,3.3,2,7.05
Wout Weghorst,"Wolfsburg, 27, FW",22(2),2036,11,3,5,-,2.8,64.2,4,2,7.05
Francesco Caputo,"Sassuolo, 32, FW",22(1),1926,13,4,2,-,2.3,80.7,0.4,4,7.04
Raphael Varane,"Real Madrid, 26, D(C)",23,2070,2,1,2,-,0.4,86.9,2.8,1,7.04
Gerónimo Rulli,"Montpellier, 27, GK",25,2250,-,-,-,-,-,74.1,0.2,-,7.04
Marco Faraoni,"Verona, 28, D(R),M(R)",24,2160,3,3,4,-,1.2,72.3,0.7,3,7.04
Luigi Sepe,"Parma Calcio 1913, 28, GK",21,1890,-,-,1,-,-,70,0.3,2,7.03
Sebastian Schonlau,"Paderborn, 25, D(C),DMC",19,1710,2,-,2,-,0.6,87.8,2.7,-,7.03
Maximilian Arnold,"Wolfsburg, 25, M(CR)",23(1),2048,3,5,6,-,1.8,80.2,0.8,2,7.03
Alex Sandro,"Juventus, 29, D(L),M(L)",22,1890,-,3,3,-,0.5,87,1.1,1,7.03
Predrag Rajkovic,"Reims, 24, GK",27,2430,-,-,1,-,-,69.8,0.4,3,7.03
William,"Wolfsburg, 25, D(LR),M(R)",16,1366,1,1,-,-,1.1,70.4,1.2,1,7.03
Kieran Trippier,"Atletico Madrid, 29, D(R),M(R)",17(2),1528,-,3,2,-,0.2,75.2,1.2,-,7.02
Pablo,"Bordeaux, 28, D(C)",25,2173,4,-,2,-,0.7,87.1,4.6,1,7.02
Kai Pröger,"Paderborn, 27, AM(CR)",19(4),1749,2,6,-,-,1.8,60.9,0.4,3,7.02
Moussa Diaby,"Bayer Leverkusen, 20, M(L)",11(8),1136,4,3,1,-,1.5,78,0.1,2,7.02
José Luis Palomino,"Atalanta, 30, D(C)",21,1890,1,1,4,-,0.6,85,3.3,-,7.02
Pervis Estupiñán,"Osasuna, 22, D(L)",26,2337,1,3,6,-,0.5,74,1.3,4,7.02
Fernando,"Sevilla, 32, DMC",24,2090,1,2,10,-,0.4,87.2,2.8,1,7.02
Ismael Bennacer,"AC Milan, 22, DMC",18(2),1620,-,-,12,-,0.4,86.4,0.5,-,7.02
Houssem Aouar,"Lyon, 21, M(CL)",23(2),1963,3,4,3,-,1.8,85.7,0.7,1,7.02
Gautier Larsonneur,"Brest, 23, GK",27,2398,-,-,2,-,-,68.8,0.3,3,7.02
Juraj Kucka,"Parma Calcio 1913, 33, M(CLR)",15(3),1349,3,2,2,-,2,69.4,3.8,-,7.01
Jordan Ayew,"Crystal Palace, 28, AM(CLR),FW",28,2393,8,1,5,-,1.6,79.3,2.5,3,7.01
Íñigo Martínez,"Athletic Bilbao, 28, D(C)",24,2160,-,1,7,-,1,78.1,4,-,7.01
Lars Bender,"Bayer Leverkusen, 30, D(CR),M(CR)",15(2),1329,2,1,3,-,0.9,86.1,1.5,-,7.01
Ivan Perisic,"Bayern Munich, 31, AM(CLR)",9(6),950,4,3,1,-,2.3,78.4,0.9,1,7.01
Konrad Laimer,"RasenBallsport Leipzig, 22, D(R),M(CR)",20(2),1710,2,3,6,1,0.3,81.3,0.8,-,7.01
Ludovic Ajorque,"Strasbourg, 26, FW",24(2),2068,8,4,3,-,1.9,70.3,4.4,3,7.01
Bouna Sarr,"Marseille, 28, D(R),M(CLR)",25(2),2170,1,3,3,-,1,84.7,1.6,-,7.01
Mason Mount,"Chelsea, 21, AM(C)",25(4),2302,6,4,3,-,2.3,85.1,0.3,1,7.01
Nicolas Pallois,"Nantes, 32, D(C)",21,1890,-,-,10,-,0.7,83.3,2.2,-,7.01
Djibril Sidibé,"Everton, 27, D(LR),M(R)",17(4),1671,-,4,3,-,0.5,77.3,1.4,1,7.01
Riccardo Orsolini,"Bologna, 23, AM(R)",24(2),1982,7,4,3,-,2.6,70.1,1,3,7.00
Presnel Kimpembe,"Paris Saint-Germain, 24, D(C)",14(2),1224,-,-,6,-,0.4,95,1.4,-,7.00
Philip Billing,"Bournemouth, 23, DMC",25(2),2168,1,1,7,-,1.1,76.1,3.4,1,7.00
Iago Aspas,"Celta Vigo, 32, AM(CR),FW",26,2331,9,2,6,-,2.5,78.4,0.8,2,7.00
Chris Basham,"Sheffield United, 31, D(CR),M(CR)",28,2440,-,-,4,-,0.2,72.2,3.2,4,7.00
