Name,Meta_data,Apps,Mins,Goals,Assists,Yel_card,Red_card,ShotsPerGame,PassSuccess,AerialWonPerGame,ManOfTheMatch,Rating
Jan Bednarek,"Southampton, 23, D(C)",27,2428,1,-,3,-,0.2,74.7,3.3,-,6.72
Moses Simon,"Nantes, 24, M(CLR),FW",25(1),2182,5,5,2,-,1.7,78.3,0.3,1,6.72
Levin Öztunali,"Mainz 05, 24, AM(CLR)",17(3),1479,4,3,1,-,1.5,65.4,0.8,-,6.72
Vincenzo Grifo,"Freiburg, 27, AM(CL)",8(9),875,2,3,1,1,1.8,76.3,0.5,1,6.72
Germán Sánchez,"Granada, 33, D(C)",18(1),1591,2,-,7,1,0.4,79,2.7,1,6.72
Rune Jarstein,"Hertha Berlin, 35, GK",21,1828,-,-,1,1,-,61.9,0.5,1,6.72
Gianluca Lapadula,"Lecce, 30, FW",15(4),1374,7,-,7,1,2.2,76.3,2.2,1,6.72
Nolito,"Sevilla, 33, AM(L)",12(3),905,3,-,-,-,2,78.7,0.7,-,6.72
Manolo Reina,"Mallorca, 35, GK",26,2340,-,-,4,-,-,55.8,0.2,1,6.72
Ximo Navarro,"Deportivo Alaves, 30, D(CR)",17,1492,-,-,8,-,0.2,76.5,1.8,-,6.72
Jamaal Lascelles,"Newcastle United, 26, D(C)",19,1632,1,-,2,-,0.4,79.9,2.6,1,6.72
Bartlomiej Dragowski,"Fiorentina, 22, GK",26,2340,-,-,1,-,-,63.1,0.3,1,6.72
Douglas Costa,"Juventus, 29, M(CLR)",6(8),515,-,3,1,-,0.7,83.5,0.1,-,6.72
Mario Balotelli,"Brescia, 29, FW",16(3),1409,5,-,6,1,3.8,66,1.9,1,6.71
John Stiven Mendoza,"Amiens, 27, AM(CLR)",12(3),1103,5,-,2,-,1.5,71.7,0.8,-,6.71
Matz Sels,"Strasbourg, 28, GK",27,2430,-,-,-,-,-,63.4,0.4,1,6.71
Fouad Chafik,"Dijon, 33, D(LR),M(R)",18(2),1531,-,2,1,-,0.4,77.9,0.8,-,6.71
Gaël Kakuta,"Amiens, 28, M(CLR)",23(1),2010,2,5,4,-,1.8,73.8,1.2,1,6.71
Karl Toko Ekambi,"Villarreal, 27, AM(L),FW",11(7),995,6,2,-,-,2.2,78.7,0.6,1,6.71
Mat Ryan,"Brighton, 28, GK",29,2610,-,-,-,-,-,81.3,0.3,-,6.71
Daniel Baier,"Augsburg, 35, M(C)",19,1678,1,-,5,-,0.7,75,1.5,-,6.71
Andreas Christensen,"Chelsea, 24, D(C),DMC",15,1258,-,-,5,-,0.4,90.1,3.3,-,6.71
Lucas Höler,"Freiburg, 25, AM(CLR),FW",20(5),1820,4,2,4,-,1.4,66.5,2,1,6.71
Mesut Özil,"Arsenal, 31, M(CLR)",18,1449,1,2,1,-,0.5,88.3,0.1,-,6.71
Nick Pope,"Burnley, 27, GK",29,2610,-,-,-,-,-,36.9,0.4,2,6.71
Leandro Cabrera,"Getafe, 28, D(CL)",18,1532,2,-,3,-,0.6,51,3.1,-,6.71
Ryad Boudebouz,"Saint-Etienne, 30, M(CLR),FW",20(4),1605,1,4,-,-,1.1,77.8,0.5,1,6.71
Stefan Posch,"Hoffenheim, 22, D(CR)",18(1),1511,-,-,9,-,0.8,77.5,2.5,1,6.71
Guido Carrillo,"Leganes, 28, FW",10(10),1001,1,2,1,-,1.5,62.4,5.5,1,6.71
Isco,"Real Madrid, 27, AM(CLR),FW",11(5),875,1,-,1,-,1.1,87.5,0.4,-,6.71
Todd Cantwell,"Norwich, 22, AM(LR)",25(4),2082,6,2,4,-,1.3,81.3,0.6,-,6.71
Albin Ekdal,"Sampdoria, 30, M(C)",18(5),1658,-,1,5,-,0.5,86.4,1.3,-,6.71
Lars Stindl,"Borussia M.Gladbach, 31, M(CR),FW",7(9),765,6,3,4,-,0.8,79.8,0.9,2,6.71
Álex Remiro,"Real Sociedad, 25, GK",20,1800,-,-,-,-,0.1,72.7,0.4,-,6.71
Dani García,"Athletic Bilbao, 29, DMC",25(1),2278,-,-,6,-,0.4,81,1.9,1,6.71
Anthony Lopes,"Lyon, 29, GK",26,2340,-,-,1,-,-,80.2,0.2,2,6.71
Manuel Neuer,"Bayern Munich, 34, GK",25,2250,-,-,-,-,-,87.7,0.3,-,6.71
Djibril Sow,"Eintracht Frankfurt, 23, DMC",15(5),1435,1,2,2,-,1,83.5,0.8,-,6.71
Jhon Chancellor,"Brescia, 28, D(C)",23,2020,3,-,3,-,0.5,85.3,2.6,-,6.70
Adrien Rabiot,"Juventus, 25, DMC",11(6),1106,-,-,3,1,0.5,91,0.7,1,6.70
Marcel Tisserand,"Wolfsburg, 27, D(CLR),M(R)",14,1205,1,1,6,1,0.6,76.3,2.8,1,6.70
Oier Sanjurjo,"Osasuna, 33, D(CR),M(C)",20,1662,2,-,8,1,0.7,70.9,2.8,1,6.70
Issa Diop,"West Ham, 23, D(C)",22(1),1956,3,-,8,-,0.5,78.8,2.7,-,6.70
Dimitri Bisoli,"Brescia, 26, M(C)",24(1),2154,1,1,6,-,1,67.3,1.2,-,6.70
Raúl Albiol,"Villarreal, 34, D(C)",26,2338,1,-,8,-,0.5,84.5,2.1,-,6.70
Niko Gießelmann,"Fortuna Duesseldorf, 28, D(CL),M(L)",16(1),1510,1,1,4,-,0.7,75.3,1.4,1,6.70
Rouwen Hennings,"Fortuna Duesseldorf, 32, FW",22(2),1987,11,-,3,-,2.3,70.6,1.3,1,6.70
Jefferson Lerma,"Bournemouth, 25, D(R),DMC",22(2),1946,1,2,9,1,0.9,79.3,1.5,-,6.70
Jasper Cillessen,"Valencia, 30, GK",16,1377,-,1,1,-,-,56.3,0.3,1,6.70
Hugo Mallo,"Celta Vigo, 28, D(CR),M(R)",18(3),1576,-,1,7,-,0.2,79.2,1.7,2,6.70
Jérôme Boateng,"Bayern Munich, 31, D(CR)",15(1),1104,-,1,5,1,0.2,90.4,1.4,-,6.70
Mehdi Abeid,"Nantes, 27, DMC",20(5),1818,1,2,5,-,1.3,86.4,0.6,-,6.70
Teemu Pukki,"Norwich, 30, AM(C),FW",28,2486,11,3,3,-,2.6,80.7,0.2,1,6.70
Jimmy Briand,"Bordeaux, 34, M(LR),FW",18(4),1527,7,1,1,-,1.3,78.5,1.6,1,6.70
Christoph Baumgartner,"Hoffenheim, 20, AM(C)",10(7),911,4,1,2,-,2.1,69.6,1.6,1,6.70
Álvaro Tejero,"Eibar, 23, D(R)",13(2),1194,-,-,3,-,0.3,72.6,1.1,1,6.70
Diego Demme,"RasenBallsport Leipzig, 28, DMC",14(3),1213,-,-,3,-,0.2,86.6,0.4,-,6.70
Pierrick Capelle,"Angers, 32, D(L),M(CLR)",20(4),1748,1,2,7,-,1.5,82.3,1.3,-,6.70
Michael Keane,"Everton, 27, D(CR)",19(3),1776,1,-,-,-,0.5,79.9,4,1,6.70
Matthew Lowton,"Burnley, 30, D(LR),M(R)",15,1350,-,1,2,-,0.1,68,1.2,-,6.70
Óliver Torres,"Sevilla, 25, M(CLR)",14(6),1118,1,3,5,-,0.6,81,0.3,-,6.70
Benito Raman,"Schalke 04, 25, AM(LR),FW",17(1),1356,4,3,2,-,1.7,65.5,0.2,1,6.70
Ansu Fati,"Barcelona, 17, AM(L)",7(9),684,4,1,2,-,1.4,82.9,0.3,-,6.70
Paulo Oliveira,"Eibar, 28, D(C)",17(2),1591,1,-,5,1,0.5,68.9,3.3,-,6.70
Jannik Vestergaard,"Southampton, 27, D(C)",13(1),1137,1,-,2,-,0.6,77.2,3.2,-,6.69
Vinícius Júnior,"Real Madrid, 19, AM(L)",8(11),901,2,1,3,-,1.6,80.1,0.1,-,6.69
Roberto Rosales,"Leganes, 31, D(R),M(R)",14(1),1201,-,1,5,-,0.2,66.2,1.1,1,6.69
Georgios Kyriakopoulos,"Sassuolo, 24, D(L)",12(3),1114,-,1,3,-,1,83.6,1.1,-,6.69
Kenny Tete,"Lyon, 24, D(R),M(R)",9(9),1064,-,1,1,-,0.4,83.1,0.6,-,6.69
Yussuf Poulsen,"RasenBallsport Leipzig, 25, AM(R),FW",10(10),1039,3,4,2,-,1.2,66.4,1.4,-,6.69
Loren Morón,"Real Betis, 26, FW",16(10),1551,9,2,2,1,1.6,66.2,1.3,-,6.69
Philipp Lienhart,"Freiburg, 23, D(C)",13(1),1171,-,1,2,-,0.3,85.2,1.9,-,6.69
Mirko Valdifiori,"SPAL 2013, 33, DMC",9(5),837,-,2,2,-,0.3,83.9,0.7,-,6.69
Dale Stephens,"Brighton, 30, M(C)",22(2),1944,-,1,6,-,0.6,86.2,0.6,-,6.69
Antonio Sanabria,"Genoa, 24, FW",11(5),983,3,2,2,-,1.8,78.4,1.8,1,6.69
Matteo Pessina,"Verona, 22, AM(C)",18(6),1715,3,-,4,-,0.7,78,2.4,-,6.69
Joachim Andersen,"Lyon, 23, D(C)",17(1),1531,1,-,3,-,0.6,89.9,2.8,-,6.69
Pedro Bigas,"Eibar, 29, D(CL)",13(1),1039,1,-,2,-,0.4,69.5,2.6,-,6.69
Arnaud Lusamba,"Nice, 23, AM(C)",11(4),984,1,2,1,-,0.4,84.8,0.3,-,6.69
Yuya Osako,"Werder Bremen, 29, AM(CR),FW",15(3),1215,4,1,1,-,1.6,77.3,2.3,-,6.69
Keylor Navas,"Paris Saint-Germain, 33, GK",21,1890,-,-,-,-,-,84.5,-,-,6.69
Koen Casteels,"Wolfsburg, 27, GK",17,1530,-,-,-,-,-,68.4,0.2,2,6.69
Angelo Ogbonna,"West Ham, 31, D(C)",24,2160,2,-,4,-,0.4,75,3.1,-,6.69
Hamed Junior Traore,"Sassuolo, 20, AM(C)",13(7),1112,3,1,2,-,1.8,84,0.2,-,6.69
Tin Jedvaj,"Augsburg, 24, D(CLR)",24,2104,1,-,4,-,0.3,74.1,2.4,-,6.69
Steven Alzate,"Brighton, 21, Forward",12(7),1183,-,-,1,-,0.7,83.9,0.5,-,6.69
Domagoj Bradaric,"Lille, 20, D(L)",16(2),1420,-,1,1,-,0.3,83,0.7,-,6.69
Oliver Baumann,"Hoffenheim, 29, GK",21,1890,-,-,1,-,-,76.9,0.3,1,6.69
David Luiz,"Arsenal, 32, D(C),DMC",25,2186,2,1,4,1,0.8,84.9,1.6,1,6.68
Jordan Veretout,"Roma, 27, M(C)",22(2),1948,2,-,4,-,0.8,89.3,0.1,-,6.68
Sebastian Vasiliadis,"Paderborn, 22, M(C)",24,2110,1,1,8,-,1.1,76.2,0.7,-,6.68
Simone Iacoponi,"Parma Calcio 1913, 32, D(CR)",25,2241,2,-,3,-,0.4,83.4,1.6,-,6.68
Leander Dendoncker,"Wolverhampton Wanderers, 24, D(C),DMC",26(3),2282,2,-,4,-,0.4,83.8,2.7,-,6.68
Igor Zubeldia,"Real Sociedad, 23, D(C),DMC",22(2),2003,-,1,7,-,0.5,88.3,2.3,-,6.68
Moussa Sissoko,"Tottenham, 30, M(CR)",19(1),1690,2,1,6,-,0.7,87.3,1.1,-,6.68
Bruno Ecuele Manga,"Dijon, 31, D(CR)",28,2520,-,-,2,-,0.6,84.5,3.1,-,6.68
Daniel Congré,"Montpellier, 35, D(CLR)",23(1),1943,-,1,4,-,0.4,82.7,2.2,-,6.68
Christoph Kramer,"Borussia M.Gladbach, 29, DMC",12(4),1006,-,-,3,-,0.5,82.9,1.3,-,6.68
Felix Uduokhai,"Augsburg, 22, D(C)",14(4),1306,-,-,1,-,0.2,80,3.1,-,6.68
Marlon Santos,"Sassuolo, 24, D(C)",15(1),1196,-,-,4,-,0.2,94.2,1,-,6.68
Óscar Plano,"Real Valladolid, 29, AM(CLR),FW",22(5),1966,3,2,3,-,1.3,73.9,1,1,6.68
Sidy Sarr,"Nimes, 23, DMC",12(10),1159,-,2,6,-,1,70.5,4.3,1,6.68
Péter Gulácsi,"RasenBallsport Leipzig, 29, GK",24,2160,-,-,-,-,-,76.7,0.1,1,6.68
Marius Bülter,"Union Berlin, 27, D(R),M(CLR)",20(4),1707,7,-,-,-,1.4,63.8,1,1,6.68
José Fonte,"Lille, 36, D(C)",25,2206,1,1,4,-,0.6,86.7,2.6,-,6.68
Erik Lamela,"Tottenham, 28, AM(CLR)",10(7),937,2,1,3,-,1.4,82.9,0.2,-,6.68
Christoph Zimmermann,"Norwich, 27, D(C)",15,1296,-,1,2,-,0.4,79.7,1.7,-,6.68
Álex Moreno,"Real Betis, 26, D(L),M(L)",20(3),1792,-,4,3,-,0.9,79.3,0.7,-,6.68
Kostas Manolas,"Napoli, 28, D(C)",19,1685,3,-,2,-,0.7,91.5,2.5,-,6.68
Pau López,"Roma, 25, GK",25,2280,-,-,2,-,-,76.3,0.2,1,6.68
Mario Gaspar,"Villarreal, 29, D(CR),M(R)",16,1410,-,1,2,-,0.8,73.5,1.9,-,6.68
Gylfi Sigurdsson,"Everton, 30, M(CLR),FW",23(3),2029,1,2,3,-,1.5,81.7,0.5,-,6.68
Pierre Kunde,"Mainz 05, 24, DMC",16(4),1377,2,-,5,-,1.6,79.2,0.9,-,6.68
Laurent Koscielny,"Bordeaux, 34, D(C)",25,2184,-,-,3,-,0.1,87.9,2.1,-,6.68
Ashley Barnes,"Burnley, 30, AM(CL),FW",17(2),1362,6,-,4,-,2.1,55,3.4,1,6.68
José Gayà,"Valencia, 24, D(L)",19(1),1678,-,-,4,-,0.4,79.1,1,-,6.67
Mama Baldé,"Dijon, 24, D(R),M(R)",20(4),1683,6,2,2,-,2.1,70.8,1.2,1,6.67
Martín Cáceres,"Fiorentina, 33, D(CLR),M(R)",20,1749,1,-,6,-,0.6,83.2,1.2,1,6.67
Antonio Puertas,"Granada, 28, AM(R)",19(7),1820,5,-,5,-,1.2,72.8,1.7,-,6.67
Neal Maupay,"Brighton, 23, FW",23(5),2114,8,2,3,-,2.8,80.1,0.7,-,6.67
Unai Simón,"Athletic Bilbao, 22, GK",24,2160,-,-,2,-,-,55.1,0.3,2,6.67
Weston McKennie,"Schalke 04, 21, D(C),M(C)",16(4),1409,1,-,4,-,1,79.5,2.6,1,6.67
Irvin Cardona,"Brest, 22, AM(L),FW",15(6),1450,6,3,3,-,2.4,65.6,1,-,6.67
Dominick Drexler,"FC Koln, 29, AM(CL)",14(5),1194,2,1,4,-,0.8,72.6,0.6,-,6.67
Lamine Koné,"Strasbourg, 31, D(C)",17(1),1474,1,-,4,-,0.4,80.9,1.9,-,6.67
Benjamin Lecomte,"Monaco, 28, GK",28,2520,-,-,1,-,-,70.5,0.4,-,6.67
Theodor Gebre Selassie,"Werder Bremen, 33, D(CLR),DMC,M(R)",18,1577,1,-,1,-,0.2,81.9,2.3,1,6.67
Rui Silva,"Granada, 26, GK",26,2340,-,-,1,-,-,51.3,0.1,1,6.67
Morten Thorsby,"Sampdoria, 23, M(CL)",12(2),1067,-,-,3,-,0.6,75.3,3.6,-,6.67
Robin Le Normand,"Real Sociedad, 23, D(C)",16(5),1554,1,-,5,-,0.3,87.8,2.5,-,6.67
Victor Lindelöf,"Manchester United, 25, D(CR)",26,2370,1,-,5,-,0.2,85.6,2.7,-,6.67
Julian Baumgartlinger,"Bayer Leverkusen, 32, DMC",15(3),1307,1,1,2,-,0.7,90.6,0.8,-,6.67
William Vainqueur,"Toulouse, 31, DMC",21,1724,-,-,8,-,0.8,89.6,1,-,6.67
Haris Belkebla,"Brest, 26, DMC",20(3),1816,-,-,4,-,0.3,86.2,0.6,-,6.66
Bukayo Saka,"Arsenal, 18, D(L),M(L)",12(6),1176,-,3,4,-,0.4,81.6,0.3,-,6.66
Dalbert,"Fiorentina, 26, D(L),M(L)",22(1),1968,-,3,5,1,0.7,77.9,1.1,-,6.66
Thiago Cionek,"SPAL 2013, 33, D(CR)",17(3),1595,-,1,9,-,0.4,74.2,1.8,-,6.66
Rolando Mandragora,"Udinese, 22, DMC",23(2),2000,-,2,2,-,2.2,85.1,0.8,-,6.66
Marshall Munetsi,"Reims, 23, DMC",8(9),832,-,2,3,-,0.2,77.5,1.9,1,6.66
Dimitrios Siovas,"Leganes, 31, D(C)",17(1),1383,-,-,4,-,0.6,71.8,3.3,1,6.66
Marvin Friedrich,"Union Berlin, 24, D(C)",23,2070,1,-,5,1,0.9,74.4,3.3,-,6.66
Milan Skriniar,"Inter, 25, D(C)",24,2087,-,-,7,-,0.4,92.3,1.2,-,6.66
Anwar El Ghazi,"Aston Villa, 24, AM(LR),FW",21(4),1684,4,4,3,-,1.8,74.2,1,-,6.66
Jean-Charles Castelletto,"Brest, 25, D(C)",22,1841,1,-,3,1,0.1,84.8,2.8,1,6.66
Bernard,"Everton, 27, AM(CL)",13(6),1056,3,2,2,-,0.6,76.2,0.1,1,6.66
Martin Kelly,"Crystal Palace, 29, D(CLR)",17(2),1550,-,1,-,-,0.1,70.5,1.7,1,6.66
Steve Mandanda,"Marseille, 35, GK",27,2371,-,-,1,-,-,62.7,0.2,1,6.66
Míchel,"Real Valladolid, 31, M(CR)",22(2),1788,1,1,4,-,0.4,81.3,0.5,-,6.66
Ibrahima Diallo,"Brest, 21, DMC",18(1),1563,-,1,2,-,0.3,86,0.8,-,6.66
Craig Cathcart,"Watford, 31, D(CR)",27,2355,-,-,6,-,-,81.4,2.2,-,6.65
Manuel Lanzini,"West Ham, 27, AM(CLR)",12(7),1188,-,2,-,-,1,86.3,0.2,1,6.65
Sergio Postigo,"Levante, 31, D(C)",20,1752,1,-,5,-,0.2,81.3,1.3,1,6.65
Pol Lirola,"Fiorentina, 22, D(R),M(R)",22(1),1862,-,2,4,-,0.7,74.7,0.5,-,6.65
Andrea Poli,"Bologna, 30, M(CL)",20(3),1728,2,-,5,-,1,89.8,0.7,1,6.65
João Félix,"Atletico Madrid, 20, AM(L),FW",17(3),1410,4,1,5,-,2.5,79.1,0.9,-,6.65
Marco Richter,"Augsburg, 22, AM(CLR)",19(3),1650,4,3,2,-,2.3,61.8,0.7,-,6.65
Joel Ward,"Crystal Palace, 30, D(LR),DMC,M(R)",18(2),1573,-,-,3,-,0.2,72.4,1.4,-,6.65
Ante Rebic,"AC Milan, 26, AM(CLR),FW",6(9),666,6,-,2,-,1.5,66.5,0.5,1,6.65
Aissa Mandi,"Real Betis, 28, D(CLR)",22,1948,-,-,8,-,0.3,89.6,2,-,6.65
Simone Verdi,"Torino, 27, AM(CLR),FW",17(5),1323,1,3,2,-,1.2,75.6,0.2,-,6.65
Soualiho Meité,"Torino, 26, AM(C)",11(10),1151,-,2,2,-,0.7,79.6,2.3,1,6.65
Mubarak Wakaso,"Deportivo Alaves, 29, M(CLR)",15(1),1289,-,-,10,1,0.9,75,1.2,-,6.65
Mario Hermoso,"Atletico Madrid, 24, D(C)",12(2),1014,-,-,2,-,0.2,77.6,1.4,-,6.65
Ángel Rodríguez,"Getafe, 32, FW",7(17),1099,10,2,4,-,1.7,62.5,0.9,1,6.65
Omar Colley,"Sampdoria, 27, D(C)",21,1890,-,1,9,-,0.6,80.5,2.5,1,6.65
Rubén Blanco,"Celta Vigo, 24, GK",25,2250,-,-,4,-,-,56.6,0.4,2,6.65
Paulo Gazzaniga,"Tottenham, 28, GK",17(1),1612,-,-,1,-,-,59.4,0.3,1,6.65
Erik Pieters,"Burnley, 31, D(L),M(L)",14(1),1235,-,3,1,-,0.5,70.2,1.6,-,6.65
Benoit Costil,"Bordeaux, 32, GK",28,2520,-,-,1,-,-,66.8,0.2,-,6.64
Harry Wilson,"Bournemouth, 23, AM(CLR)",19(4),1448,7,-,1,-,2,76.5,0.1,-,6.64
Jean-Ricner Bellegarde,"Strasbourg, 21, DMC",16(8),1499,-,-,2,-,0.8,86.6,0.4,-,6.64
Bafode Diakite,"Toulouse, 19, D(CR)",16,1368,2,-,1,1,0.6,87.1,1.5,-,6.64
Milan Badelj,"Fiorentina, 31, M(C)",17(2),1374,1,-,1,1,0.7,81.5,0.5,-,6.64
Miguel Almirón,"Newcastle United, 26, AM(CLR),FW",28,2380,2,1,5,-,1.5,78.7,0.3,2,6.64
Lukas Klünter,"Hertha Berlin, 23, D(R),M(R)",20,1800,-,2,4,-,0.1,70.6,1.3,-,6.64
Davy Klaassen,"Werder Bremen, 27, AM(CL)",24,2160,4,3,5,-,1.3,77.5,1,2,6.64
Rodrigo Becão,"Udinese, 24, D(C)",17(3),1544,1,-,6,-,0.3,83.3,2.4,2,6.64
Djené Dakonam,"Getafe, 28, D(C)",25,2250,-,-,3,-,0.1,69.3,2.6,-,6.64
Samuel Chukwueze,"Villarreal, 20, AM(CR)",13(13),1426,3,1,1,-,1.4,72.2,0.3,-,6.64
Paul Dummett,"Newcastle United, 28, D(CL)",14(2),1229,-,-,2,-,0.1,71.7,1.8,-,6.64
Lukasz Fabianski,"West Ham, 34, GK",16,1309,-,-,1,-,-,48.7,0.2,-,6.64
Bartosz Bereszynski,"Sampdoria, 27, D(R)",17,1494,-,-,5,-,0.6,78.9,1.6,1,6.64
Adrien Hunou,"Rennes, 26, AM(CLR),FW",13(10),1209,8,1,2,-,1.2,75.9,0.4,-,6.64
Sergi Guardiola,"Real Valladolid, 28, FW",24(1),2061,6,2,5,-,1.8,70.5,1.1,4,6.64
Ruben Vargas,"Augsburg, 21, AM(L)",20(4),1789,4,1,7,-,1.8,62.1,0.6,2,6.64
Pedro Obiang,"Sassuolo, 28, DMC",17(4),1541,1,1,9,-,1,88.7,1,-,6.64
Ismael Traoré,"Angers, 33, D(CR)",23,2053,-,-,4,-,0.4,83.8,1.8,-,6.64
Adrien Silva,"Monaco, 31, M(C)",13(9),1216,-,2,7,-,0.6,86.7,0.5,-,6.63
Jérémy Morel,"Rennes, 36, D(CL)",20(1),1806,1,-,2,-,0.6,82.9,1.9,-,6.63
Nemanja Radonjic,"Marseille, 24, AM(LR)",8(13),876,5,1,3,-,1.4,72.8,0.2,-,6.63
Tyrone Mings,"Aston Villa, 27, D(CL)",23,2003,2,1,5,-,0.3,79.9,2.1,-,6.63
Neven Subotic,"Union Berlin, 31, D(C)",19,1684,1,-,1,1,0.6,71.6,3.2,-,6.63
Jeffrey Schlupp,"Crystal Palace, 27, D(L),M(CL)",9(5),860,2,1,2,-,1,74.9,0.9,-,6.63
Edu Expósito,"Eibar, 23, DMC",16(9),1582,2,1,3,-,0.6,83.9,0.8,1,6.63
Kenneth Omeruo,"Leganes, 26, D(C)",18(1),1601,1,-,5,-,0.2,68.3,2.9,1,6.63
Arthur Masuaku,"West Ham, 26, D(L),M(L)",10(5),912,-,1,3,1,0.3,80.2,0.8,1,6.63
Ilkay Gündogan,"Manchester City, 29, M(C)",17(8),1589,2,1,7,-,1.2,91.5,0.4,-,6.63
Gonzalo Escalante,"Eibar, 27, DMC",15(5),1407,-,1,5,1,1,70.4,2.9,1,6.63
Takefusa Kubo,"Mallorca, 18, AM(CR)",13(11),1431,3,2,2,-,1.2,68.9,0.4,1,6.63
Marco Calderoni,"Lecce, 31, D(L)",18(1),1604,3,1,6,-,1,73.5,0.4,1,6.63
Jack Cork,"Burnley, 30, DMC",27,2368,-,-,1,-,0.7,77,1.9,-,6.63
Rui Patrício,"Wolverhampton Wanderers, 32, GK",29,2610,-,-,-,-,-,60.8,0.2,-,6.63
Alban Lafont,"Nantes, 21, GK",27,2430,-,-,3,-,-,56.6,0.4,1,6.63
Pedro Mendes,"Montpellier, 29, D(CR)",16,1378,1,-,8,1,0.6,80.7,1.7,-,6.63
Leonardo Spinazzola,"Roma, 27, D(LR),M(L)",10(5),904,-,1,2,-,0.3,83.4,0.8,-,6.63
Eric Dier,"Tottenham, 26, D(CR),DMC",10(4),892,-,2,4,-,0.3,77.7,2.8,-,6.63
Kiko Olivas,"Real Valladolid, 31, D(C)",27,2430,1,-,1,-,0.2,86.6,1.5,1,6.63
Unai Bustinza,"Leganes, 28, D(CR)",22(2),1926,-,1,3,-,0.3,69.3,2.2,-,6.63
Roque Mesa,"Leganes, 30, DMC",18(2),1597,1,2,8,-,1,84.1,0.4,-,6.63
Callum Hudson-Odoi,"Chelsea, 19, AM(LR)",7(10),770,1,4,1,-,1.2,85.1,0.1,-,6.63
Ruben Aguilar,"Monaco, 26, D(R),M(R)",11(8),1068,-,2,2,2,0.3,89.3,0.8,1,6.63
Mark Noble,"West Ham, 32, M(C)",26,2148,4,1,4,-,0.7,81.8,0.5,1,6.63
Matthieu Dossevi,"Toulouse, 32, M(CR),FW",20(6),1760,1,2,-,-,0.9,75.5,0.2,1,6.63
Gastón Brugman,"Parma Calcio 1913, 27, M(C)",11(4),970,-,1,2,-,0.5,80.5,0.5,-,6.63
Manuel Lazzari,"Lazio, 26, M(R)",18(3),1664,-,3,4,-,0.4,85.6,0.1,-,6.62
Nahitan Nández,"Cagliari, 24, DMC,M(R)",20(3),1852,1,3,10,-,0.6,78.9,0.6,-,6.62
Álvaro González,"Marseille, 30, D(C)",19(1),1629,-,-,4,1,0.7,85.7,1.8,-,6.62
Bremer,"Torino, 23, D(C)",14,1122,1,1,2,2,0.5,77.7,2.4,1,6.62
Fernando Pacheco,"Deportivo Alaves, 27, GK",24,2160,-,-,-,-,-,55.2,0.2,1,6.62
Gabriel Strefezza,"SPAL 2013, 22, M(R)",16(4),1403,1,2,5,1,1.9,82,0.2,-,6.62
Andre Hoffmann,"Fortuna Duesseldorf, 27, D(C),DMC",19(1),1695,1,1,5,-,0.5,88,2.3,-,6.62
André Silva,"Eintracht Frankfurt, 24, FW",8(7),843,4,2,1,-,1.9,67.9,1,1,6.62
Janik Haberer,"Freiburg, 26, M(CLR),FW",19(2),1616,2,2,3,1,0.6,82.7,1.5,-,6.62
Aarón Martín,"Mainz 05, 22, D(L),M(L)",17(1),1487,-,-,-,-,0.5,80.9,0.7,-,6.62
Adnan Januzaj,"Real Sociedad, 25, AM(CLR)",9(8),804,2,3,2,-,1.1,68.3,0.2,1,6.62
Aaron Cresswell,"West Ham, 30, D(CL),M(L)",23,2025,3,-,7,-,0.7,74.8,1.5,-,6.62
Marc-André ter Stegen,"Barcelona, 27, GK",26,2340,-,2,-,-,-,85.5,0.4,-,6.62
Martín Montoya,"Brighton, 28, D(LR),M(R)",21(2),1711,-,1,5,-,0.3,76.8,0.9,1,6.62
Lukasz Skorupski,"Bologna, 28, GK",25,2250,-,-,2,-,-,72,0.4,-,6.62
Klaus Gjasula,"Paderborn, 30, DMC",21(1),1761,2,1,12,-,0.5,76,1.7,-,6.62
Cristian Battocchio,"Brest, 28, DMC",16(8),1392,3,1,1,-,0.8,81,0.4,1,6.62
Matteo Darmian,"Parma Calcio 1913, 30, D(CLR),M(LR)",21,1840,-,1,4,-,0.3,74.9,1,-,6.61
Salva Sevilla,"Mallorca, 36, M(CL)",24,1859,3,3,7,1,0.9,86.8,0.5,-,6.61
Kenedy,"Getafe, 24, D(L),M(L)",3(13),530,1,3,2,-,0.9,73,0.4,1,6.61
Patrick Burner,"Nice, 23, D(R)",15(5),1433,1,1,4,1,0.4,86.4,0.5,-,6.61
Yaya Sanogo,"Toulouse, 27, FW",9(6),908,3,1,1,-,1.7,65.1,3.7,1,6.61
Jean-Kevin Duverne,"Brest, 22, D(C)",13(1),1177,-,-,-,-,0.1,84.1,1.5,-,6.61
Francis Coquelin,"Valencia, 28, M(CLR)",17(2),1482,-,-,5,1,0.4,90.1,0.8,-,6.61
Jorge Molina,"Getafe, 37, FW",19(5),1433,5,2,4,1,1.1,65.7,2.5,1,6.61
Paul Bernardoni,"Nimes, 22, GK",25,2204,-,-,-,-,-,57.8,0.4,-,6.61
Andros Townsend,"Crystal Palace, 28, AM(LR),FW",9(6),796,1,1,-,-,0.3,74.9,0.1,-,6.61
Lucas Torreira,"Arsenal, 24, DMC",15(9),1372,1,1,4,-,0.8,87.9,0.4,-,6.61
Abdelhamid Sabiri,"Paderborn, 23, AM(CL)",7(9),782,3,1,4,-,2,78,1.3,2,6.61
